;country_i;country_j;dist;pop_i_mean;pop_j_mean;gni_i_mean;gni_j_mean;country_flow;dist_pop
177;ABW;PLW;16511;96816,8;19348,8;24230;11018;NA;16511
178;ABW;PNG;15958;96816,8;6924995,8;24230;1066;0;15958
179;ABW;POL;8988;96816,8;38140926,8;24230;10022;0;8988
180;ABW;PRI;781;96816,8;3782169,4;24230;15716;0;781
181;ABW;PRK;14068;96816,8;24348761;24230;NA;0;14068
182;ABW;PRT;6631;96816,8;10539001,2;24230;20900;0;6631
183;ABW;PRY;4395;96816,8;5589884;24230;2620;0;4395
184;ABW;PSE;10627;96816,8;3500460,4;24230;1914;0;10627
185;ABW;PYF;9349;96816,8;277396;24230;NA;0;9349
186;ABW;QAT;12434;96816,8;1230042,8;24230;55156;0;12434
187;ABW;REU;14171;96816,8;NA;24230;NA;0;14171
188;ABW;ROU;9525;96816,8;20860357,8;24230;6662;0;9525
189;ABW;RUS;9937;96816,8;142980256;24230;7326;0;9937
190;ABW;RWA;11160;96816,8;9529053,2;24230;416;0;11160
191;ABW;SAU;12021;96816,8;26420346,4;24230;15050;0;12021
192;ABW;SCG;9078;96816,8;NA;24230;NA;NA;9078
193;ABW;SDN.1;10957;96816,8;NA;24230;NA;NA;10957
194;ABW;SDN.2;;96816,8;NA;24230;NA;NA;NA
195;ABW;SEN;5683;96816,8;11573854,2;24230;1150;0;5683
196;ABW;SGP;18338;96816,8;4616539;24230;34388;0;18338
197;ABW;SHN;7748;96816,8;NA;24230;NA;NA;7748
198;ABW;SLB;14570;96816,8;504873,8;24230;1272;0;14570
199;ABW;SLE;6223;96816,8;5956594,6;24230;356;0;6223
200;ABW;SLV;2081;96816,8;6055134,2;24230;2694;0;2081
201;ABW;SMR;8455;96816,8;30319,6;24230;NA;NA;8455
202;ABW;SOM;12715;96816,8;11109052,8;24230;NA;0;12715
203;ABW;SPM;4013;96816,8;NA;24230;NA;NA;4013
204;ABW;SRB;;96816,8;7380989,2;24230;5046;0;NA
205;ABW;SSD;;96816,8;8432621,8;24230;NA;0;NA
206;ABW;STP;8571;96816,8;169876,4;24230;946;0;8571
207;ABW;SUN;;96816,8;NA;24230;NA;NA;NA
208;ABW;SUR;1790;96816,8;528022,8;24230;4976;0;1790
209;ABW;SVK;8771;96816,8;5377224,4;24230;14740;0;8771
210;ABW;SVN;8598;96816,8;2017289,8;24230;21808;0;8598
211;ABW;SWE;8710;96816,8;9155264,2;24230;51118;0;8710
212;ABW;SWZ;11724;96816,8;1083677;24230;3188;0;11724
213;ABW;SXM;;96816,8;33693;24230;NA;NA;NA
214;ABW;SYC;13981;96816,8;85349;24230;11990;NA;13981
215;ABW;SYR;10689;96816,8;20403970;24230;7858;0;10689
216;ABW;TCA;996;96816,8;26278,8;24230;NA;NA;996
217;ABW;TCD;9205;96816,8;10737629,8;24230;638;0;9205
218;ABW;TGO;7838;96816,8;6050896;24230;508;0;7838
219;ABW;THA;16923;96816,8;66821906,4;24230;3470;0;16923
220;ABW;TJK;12923;96816,8;7193635,2;24230;586;0;12923
221;ABW;TKL;11449;96816,8;NA;24230;NA;NA;11449
222;ABW;TKM;12267;96816,8;5029147,6;24230;2400;0;12267
223;ABW;TLS;18273;96816,8;1018371;24230;1904;0;18273
224;ABW;TON;12067;96816,8;106507,4;24230;2786;0;12067
225;ABW;TTO;951;96816,8;1384969,8;24230;13792;0;951
226;ABW;TUN;8321;96816,8;10583436,2;24230;3502;0;8321
227;ABW;TUR;9845;96816,8;70311008,8;24230;8548;0;9845
228;ABW;TUV;12465;96816,8;10154,2;24230;4416;NA;12465
229;ABW;TWN;15671;96816,8;NA;24230;NA;NA;15671
230;ABW;TZA;12271;96816,8;41709374,2;24230;556;0;12271
231;ABW;UGA;11380;96816,8;29654400,2;24230;404;0;11380
232;ABW;UKR;9677;96816,8;46542766,4;24230;2426;0;9677
233;ABW;URY;5442;96816,8;3329776;24230;6696;0;5442
234;ABW;USA;3148;96816,8;301198642,6;24230;47918;0;3148
235;ABW;UZB;12735;96816,8;26918690;24230;808;0;12735
236;ABW;VAT;8473;96816,8;NA;24230;NA;NA;8473
237;ABW;VCT;958;96816,8;110890;24230;5950;0;958
238;ABW;VDR;;96816,8;NA;24230;NA;NA;NA
239;ABW;VEN;411;96816,8;27511537,6;24230;7624;101;411
240;ABW;VGB;873;96816,8;25234;24230;NA;NA;873
241;ABW;VNM.1;;96816,8;NA;24230;NA;NA;NA
242;ABW;VNM.2;17405;96816,8;NA;24230;NA;NA;17405
243;ABW;VUT;13759;96816,8;228508,2;24230;2088;0;13759
244;ABW;WLF;12052;96816,8;NA;24230;NA;NA;12052
245;ABW;WSM;11591;96816,8;190689,2;24230;2680;0;11591
246;ABW;YEM.1;;96816,8;NA;24230;NA;NA;NA
247;ABW;YEM.2;12159;96816,8;NA;24230;NA;NA;12159
248;ABW;YMD;;96816,8;NA;24230;NA;NA;NA
249;ABW;YUG;;96816,8;NA;24230;NA;NA;NA
250;ABW;ZAF;11417;96816,8;50048317,6;24230;6230;0;11417
251;ABW;ZMB;11256;96816,8;12421912,6;24230;934;0;11256
